attraction,url,summary,image
Time Square,https://en.wikipedia.org/wiki/Times_Square,"Times Square is a major commercial intersection, tourist destination, entertainment center and neighborhood in the Midtown Manhattan section of New York City at the junction of Broadway and Seventh Avenue. It stretches from West 42nd to West 47th Streets. Brightly adorned with billboards and advertisements, Times Square is sometimes referred to as ""The Crossroads of the World"", ""The Center of the Universe"", ""the heart of The Great White Way"", and the ""heart of the world"". One of the world's busiest pedestrian areas, it is also the hub of the Broadway Theater District and a major center of the world's entertainment industry. Times Square is one of the world's most visited tourist attractions, drawing an estimated 50 million visitors annually. Approximately 330,000 people pass through Times Square daily, many of them tourists, while over 460,000 pedestrians walk through Times Square on its busiest days.
Formerly known as Longacre Square, Times Square was renamed in 1904 after The New York Times moved its headquarters to the then newly erected Times Building – now One Times Square – the site of the annual New Year's Eve ball drop which began on December 31, 1907, and continues today, attracting over a million visitors to Times Square every year.
Times Square functions as a town square, but is not a square in the geometric sense of a polygon; it is more of a bowtie shape, with two triangles emanating roughly north and south from 45th Street, where Seventh Avenue intersects Broadway. Broadway runs diagonally, crossing through the horizontal and vertical street grid of Manhattan laid down by the Commissioners' Plan of 1811, and that intersection creates the ""bowtie"" shape of Times Square.
The southern triangle of Times Square has no specific name, but the northern triangle is called Father Duffy Square. It was dedicated in 1937 to Chaplain Francis P. Duffy of New York City's U.S. 69th Infantry Regiment and is the site of a memorial to him, along with a statue of George M. Cohan, as well as the TKTS reduced-price ticket booth run by the Theatre Development Fund. Since 2008, the booth has been backed by a red, sloped, triangular set of bleacher-like stairs, which is used by people to sit, talk, eat, and take photographs.

",https://upload.wikimedia.org/wikipedia/commons/2/2e/0480New_York_City_Madame_Tussauds_crop.jpg
Central Park,https://en.wikipedia.org/wiki/Central_Park,"Central Park is an urban park in Manhattan, New York City. It is located between the Upper West Side and Upper East Side, roughly bounded by Fifth Avenue on the east, Central Park West (Eighth Avenue) on the west, Central Park South (59th Street) on the south, and Central Park North (110th Street) on the north. Central Park is the most visited urban park in the United States, with 40 million visitors in 2013, and one of the most filmed locations in the world. In terms of area, Central Park is the fifth-largest park in New York City, covering 843 acres (341 ha).
The park was established in 1857 on 778 acres (315 ha) of land acquired by the city. In 1858, landscape architect Frederick Law Olmsted and architect/landscape designer Calvert Vaux won a design competition to improve and expand the park with a plan they titled the ""Greensward Plan"". Construction began the same year, and the park's first area was opened to the public in the winter of 1858. Construction north of the park continued during the American Civil War in the 1860s, and the park was expanded to its current size in 1873. After a period of decline in the early 20th century, Robert Moses started a program to clean up Central Park. Another decline in the late 20th century spurred the creation of the Central Park Conservancy in 1980, which refurbished many parts of the park during the 1980s and 1990s.
Central Park was designated a National Historic Landmark by the U.S. Department of the Interior in 1963, which in April 2017 placed it on the tentative list for UNESCO World Heritage sites. The park, managed for decades by the New York City Department of Parks and Recreation, is currently managed by the Central Park Conservancy under contract with the municipal government in a public-private partnership. The Conservancy is a non-profit organization that contributes 75 percent of Central Park's $65 million annual budget and is responsible for all basic care of the 843-acre park.

",https://upload.wikimedia.org/wikipedia/commons/6/61/20170721_Gotham_Shield_NYC_Aerials-225_medium.jpg
Union Station,https://en.wikipedia.org/wiki/Union_station,"A union station (also known as a union terminal and a joint station in Europe) is a railway station where tracks and facilities are shared by two or more separate railway companies, allowing passengers to connect conveniently between them. The term 'union station' is used in North America and 'joint station' is used in Europe.
In the U.S., union stations are typically used by all passenger trains serving a city, although exceptions exist. For example, in Chicago, the Illinois Central and Chicago & North Western depots coexisted with Union Station.

",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg
Las Vegas Strip,https://en.wikipedia.org/wiki/Las_Vegas_Strip,"The Las Vegas Strip is a stretch of South Las Vegas Boulevard in Clark County, Nevada that is known for its concentration of resort hotels and casinos. The Strip is approximately 4.2 miles (6.8 km) in length, located immediately south of the Las Vegas city limits in the unincorporated towns of Paradise and Winchester. However, the Strip is often referred to as being in Las Vegas.
Many of the largest hotel, casino, and resort properties in the world are located on the Las Vegas Strip. The road's cityscape is highlighted by its use of contemporary architecture, lights and wide variety of attractions. Its hotels, casinos, restaurants, residential high-rises, entertainment offerings, and skyline have established the Las Vegas Strip as one of the most popular and iconic tourist destinations in the United States and the world. Most of the Strip has also been designated as an All-American Road and is considered a scenic route at night.",https://upload.wikimedia.org/wikipedia/commons/b/bd/Bellagio_Las_Vegas_December_2013_panorama.jpg
Grand Central Terminal,https://en.wikipedia.org/wiki/Grand_Central_Terminal,"Grand Central Terminal (GCT; also referred to as Grand Central Station or simply as Grand Central) is a commuter and intercity railroad terminal at 42nd Street and Park Avenue in Midtown Manhattan in New York City, United States. The terminal serves commuters traveling on the Metro-North Railroad to Westchester, Putnam, and Dutchess counties in New York, as well as to Fairfield and New Haven counties in Connecticut. Through recent Amtrak connections, Grand Central is served by the Adirondack, Empire Service, Ethan Allen Express, and Maple Leaf services. The terminal also contains a connection to the New York City Subway at Grand Central–42nd Street.
Grand Central Terminal's distinctive architecture and interior design have earned it several landmark designations, including as a U.S. National Historic Landmark. The terminal is one of the world's most visited tourist attractions, with 21.9 million visitors in 2013, excluding train and subway passengers.
Grand Central Terminal was built by and named for the New York Central and Hudson River Railroad in the pinnacle of American long-distance passenger rail travel. Until 1991, the terminal also served Amtrak, which consolidated all of its services at nearby Pennsylvania Station upon completion of the Empire Connection. Limited Amtrak service also served the station during the summer of 2017, as well as all New York-bound Amtrak service in summer 2018, because of construction around Penn Station. The East Side Access project is underway to bring Long Island Rail Road service to the terminal.
Grand Central covers 48 acres (19 ha) and has 44 platforms, more than any other railroad station in the world. Its platforms, all below ground, serve 30 tracks on the upper level and 26 on the lower, though only 43 tracks are currently in use for passenger service. The total number of tracks along platforms and in rail yards exceeds 100 as most previous tracks that are not in regular use are used for the rail yard. Unlike other Metro-North stations, Grand Central Terminal is not owned by the Metropolitan Transportation Authority, but by a private company known as Midtown TDR Ventures.",https://upload.wikimedia.org/wikipedia/commons/f/fb/1880_Grand_Central.jpg
"""Magic Kingdom, Walt Disney World""",https://en.wikipedia.org/wiki/Disney_utilidor_system,"In Disney theme parks, the utilidor system is a system of some of the world's largest utility tunnels, mainly for Walt Disney World's Magic Kingdom in Florida. The utilidors, short for utility corridors, are a part of Disney's ""backstage"" (behind-the-scenes) area. They allow Disney employees (""cast members"") to perform park support operations, such as trash removal, and for costumed characters to quickly reach their destinations on the surface out of the sight of guests to avoid ruining the illusion that is being created.
These tunnels were first built for Magic Kingdom. Smaller utilidor systems are built under the central section of Epcot's Future World, primarily beneath ""Spaceship Earth"" and ""Innoventions,"" and formerly at Pleasure Island. Disneyland, in California, also has a small utilidor through Tomorrowland.",
Disneyland Resort,https://en.wikipedia.org/wiki/Disneyland_Resort,"The Disneyland Resort, commonly known as Disneyland, is an entertainment resort in Anaheim, California. It is owned and operated by The Walt Disney Company through its Parks, Experiences and Consumer Products division and is home to two theme parks (Disneyland Park and Disney California Adventure), three hotels, and a shopping, dining, and entertainment complex known as Downtown Disney.
The resort was developed by Walt Disney in the 1950s. When it opened to guests on July 17, 1955, the property consisted of Disneyland, its 100-acre parking lot (which had 15,167 spaces), and the Disneyland Hotel, owned and operated by Disney's business partner Jack Wrather. After the success with the multi-park, multi-hotel business model at Walt Disney World in Lake Buena Vista, Florida, Disney acquired large parcels of land adjacent to Disneyland to apply the same business model in Anaheim.
During the expansion, the property was named the Disneyland Resort to encompass the entire complex, while the original theme park was named Disneyland Park. The company purchased the Disneyland Hotel from the Wrather Company and the Pan Pacific Hotel from the Tokyu Group. The Pan Pacific Hotel became Disney's Paradise Pier Hotel in 2000. In 2001 the property saw the addition of Disney's Grand Californian Hotel & Spa, a second theme park, named Disney California Adventure, and the Downtown Disney shopping, dining, and entertainment area.",https://upload.wikimedia.org/wikipedia/commons/e/e9/Anaheim_Police_vehicle_%28455007275%29.jpg
Golden Gate Bridge,https://en.wikipedia.org/wiki/Golden_Gate_Bridge,"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate, the one-mile-wide (1.6 km) strait connecting San Francisco Bay and the Pacific Ocean. The structure links the American city of San Francisco, California – the northern tip of the San Francisco Peninsula – to Marin County, carrying both U.S. Route 101 and California State Route 1 across the strait. The bridge is one of the most internationally recognized symbols of San Francisco, California, and the United States. It has been declared one of the Wonders of the Modern World by the American Society of Civil Engineers.
The Frommer's travel guide describes the Golden Gate Bridge as ""possibly the most beautiful, certainly the most photographed, bridge in the world."" At the time of its opening in 1937, it was both the longest and the tallest suspension bridge in the world, with a main span of 4,200 feet (1,280 m) and a total height of 746 feet (227 m).",https://upload.wikimedia.org/wikipedia/commons/5/5c/BayareaUSGS.jpg
Faneuil Hall Marketplace,https://en.wikipedia.org/wiki/Faneuil_Hall,"Faneuil Hall ( or ; previously ), located near the waterfront and today's Government Center, in Boston, Massachusetts, has been a marketplace and a meeting hall since 1743. It was the site of several speeches by Samuel Adams, James Otis, and others encouraging independence from Great Britain. Now it is part of Boston National Historical Park and a well-known stop on the Freedom Trail. It is sometimes referred to as ""the Cradle of Liberty"".
In 2008, Faneuil Hall was rated number 4 in America's 25 Most Visited Tourist Sites by Forbes Traveler.",https://upload.wikimedia.org/wikipedia/commons/a/ac/1853_4thJuly_FaneuilHall_Gleasons.png
Golden Gate Park,https://en.wikipedia.org/wiki/Golden_Gate_Park,"Golden Gate Park, located in San Francisco, California, United States, is a large urban park consisting of 1,017 acres (412 ha) of public grounds. It is administered by the San Francisco Recreation & Parks Department, which began in 1871 to oversee the development of Golden Gate Park. Configured as a rectangle, it is similar in shape but 20 percent larger than Central Park in New York, to which it is often compared. It is over three miles (4.8 km) long east to west, and about half a mile (0.8 km) north to south. With 13 million visitors annually, Golden Gate is the fifth most-visited city park in the United States after Central Park in New York City, Lincoln Park in Chicago, and Balboa and Mission Bay Parks in San Diego.",https://upload.wikimedia.org/wikipedia/commons/c/cc/A_pond_with_reflection_in_Golden_Gate_Park_2.jpg
